transaction_id,timestamp,from_entity_id,to_entity_id,cylinder_count,transaction_type,previous_hash,current_hash,block_index
TX000001,2025-12-17 18:26:37,COMP002,DIST021,7,Dispatch,0000000000000000000000000000000000000000000000000000000000000000,6f57aa401627d408b99cef1737006f57242cd4d28710d21be70a2d4378c848cf,1
TX000002,2026-01-09 21:41:37,COMP002,DIST020,19,Dispatch,6f57aa401627d408b99cef1737006f57242cd4d28710d21be70a2d4378c848cf,c775762c6e10ef815d07577343c7829351f118ab277ec91dd682e2cad2cd75a7,2
TX000003,2026-02-09 12:56:37,COMP001,DIST003,49,Dispatch,c775762c6e10ef815d07577343c7829351f118ab277ec91dd682e2cad2cd75a7,604803f9db76056b89f6b9721fea4e9957e3b38d9655ca80ebfaeaaeb257636a,3
TX000004,2026-02-12 11:56:37,DIST007,CUST00283,16,Delivery,604803f9db76056b89f6b9721fea4e9957e3b38d9655ca80ebfaeaaeb257636a,c213a5eefc11773485e1e045c19c03add01d0fb8286c38c0c61a6af57ed4280c,4
TX000005,2026-03-24 12:11:37,COMP003,DIST019,3,Dispatch,c213a5eefc11773485e1e045c19c03add01d0fb8286c38c0c61a6af57ed4280c,4c411b5300726af71e34dee4b133b3418452bdeb43bdc98499cf8fd947d010c2,5
TX000006,2026-04-02 16:26:37,COMP001,DIST010,26,Dispatch,4c411b5300726af71e34dee4b133b3418452bdeb43bdc98499cf8fd947d010c2,d99e6ab97ed9f942a2a80c2cd9b663b6944e3faeb4f306297032161778ee453d,6
TX000007,2025-12-25 16:41:37,DIST011,DIST025,45,Receive,d99e6ab97ed9f942a2a80c2cd9b663b6944e3faeb4f306297032161778ee453d,19c39860f4238e710d046c94bcbcf1071de08a92237060e0a0920b9a18c1f1fa,7
TX000008,2025-11-27 20:41:37,DIST011,CUST00209,2,Delivery,19c39860f4238e710d046c94bcbcf1071de08a92237060e0a0920b9a18c1f1fa,b1213295e27ffbfb313a734f572f63ed45c3537e1fa61fc89a024033f08d04d4,8
TX000009,2025-11-05 21:26:37,DIST013,DIST016,11,Receive,b1213295e27ffbfb313a734f572f63ed45c3537e1fa61fc89a024033f08d04d4,7166b833f02324bdd17aad7000b45b0688093d9d9acf7a2c2f97c6fc5f0d727b,9
TX000010,2025-10-26 20:41:37,COMP002,DIST003,57,Dispatch,7166b833f02324bdd17aad7000b45b0688093d9d9acf7a2c2f97c6fc5f0d727b,44ab1bd681db1cd961046f9b5a5ff0107ea145e5b24775eb69b38ac568d9ad7c,10
